#,Player,Team,GP,MPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,RPG,APG,SPG,BPG,PPG
1,Stephen Curry,GSW,63,34.2,10.4,21.7,0.482,5.3,12.7,0.421,5.7,6.3,0.916,3.4,1.9,0.5,5,5.5,5.8,1.2,0.1,32
2,Bradley Beal,WAS,60,35.8,11.2,23,0.485,2.2,6.2,0.349,6.8,7.7,0.889,3.1,2.3,1.2,3.5,4.7,4.4,1.1,0.4,31.3
3,Damian Lillard,POR,67,35.8,9,19.9,0.451,4.1,10.5,0.391,6.7,7.2,0.928,3,1.5,0.5,3.7,4.2,7.5,0.9,0.3,28.8
4,Joel Embiid,PHI,51,31.1,9,17.6,0.513,1.1,3,0.377,9.2,10.7,0.859,3.1,2.4,2.2,8.4,10.6,2.8,1,1.4,28.5
5,Giannis Antetokounmpo,MIL,61,33,10.3,18,0.569,1.1,3.6,0.303,6.5,9.5,0.685,3.4,2.8,1.6,9.4,11,5.9,1.2,1.2,28.1
6,Luka Doncic,DAL,66,34.3,9.8,20.5,0.479,2.9,8.3,0.35,5.2,7.1,0.73,4.3,2.3,0.8,7.2,8,8.6,1,0.5,27.7
7,Zach LaVine,CHI,58,35.1,9.8,19.4,0.507,3.4,8.2,0.419,4.4,5.1,0.849,3.5,2.4,0.6,4.4,5,4.9,0.8,0.5,27.4
8,Zion Williamson,NOP,61,33.2,10.4,17,0.611,0.2,0.6,0.294,6,8.7,0.698,2.7,2.2,2.7,4.5,7.2,3.7,0.9,0.6,27
9,Kevin Durant,BRK,35,33,9.3,17.2,0.537,2.4,5.4,0.45,6,6.8,0.882,3.4,2,0.4,6.7,7.1,5.6,0.7,1.3,26.9
10,Kyrie Irving,BRK,54,34.9,10.2,20.1,0.506,2.8,7,0.402,3.7,4,0.922,2.4,2.6,1,3.8,4.8,6,1.4,0.7,26.9
11,Jayson Tatum,BOS,64,35.8,9.5,20.6,0.459,2.9,7.6,0.386,4.6,5.3,0.868,2.7,1.9,0.8,6.6,7.4,4.3,1.2,0.5,26.4
12,Donovan Mitchell,UTA,53,33.4,9,20.6,0.438,3.4,8.7,0.386,5,6,0.845,2.8,2.2,0.9,3.5,4.4,5.2,1,0.3,26.4
13,Nikola Jokic,DEN,72,34.6,10.2,18,0.566,1.3,3.3,0.388,4.8,5.5,0.868,3.1,2.7,2.8,8,10.8,8.3,1.3,0.7,26.4
14,Devin Booker,PHX,67,33.9,9.3,19.2,0.484,1.9,5.5,0.34,5.1,5.9,0.867,3.1,2.7,0.5,3.7,4.2,4.3,0.8,0.2,25.6
15,Trae Young,ATL,63,33.7,7.7,17.7,0.438,2.2,6.3,0.343,7.7,8.7,0.886,4.1,1.8,0.6,3.3,3.9,9.4,0.8,0.2,25.3
16,De'Aaron Fox,SAC,58,35.1,9.1,19.1,0.477,1.8,5.5,0.322,5.2,7.2,0.719,3,2.9,0.6,2.9,3.5,7.2,1.5,0.5,25.2
17,LeBron James,LAL,45,33.4,9.4,18.3,0.513,2.3,6.3,0.365,4,5.7,0.698,3.7,1.6,0.6,7,7.7,7.8,1.1,0.6,25
18,Kawhi Leonard,LAC,52,34.1,8.9,17.5,0.512,1.9,4.9,0.398,5,5.7,0.885,2,1.6,1.1,5.4,6.5,5.2,1.6,0.4,24.8
19,Karl-Anthony Towns,MIN,50,33.8,8.5,17.5,0.486,2.4,6.3,0.387,5.3,6.2,0.859,3.2,3.7,2.7,7.9,10.6,4.5,0.8,1.1,24.8
20,Jaylen Brown,BOS,58,34.5,9.3,19.2,0.484,2.8,7.1,0.397,3.3,4.3,0.764,2.7,2.9,1.2,4.8,6,3.4,1.2,0.6,24.7
21,James Harden,BRK,44,36.6,7.8,16.7,0.466,2.8,7.6,0.362,6.3,7.3,0.861,4,2.2,0.8,7.1,7.9,10.8,1.2,0.8,24.6
22,Collin Sexton,CLE,60,35.3,8.8,18.4,0.475,1.6,4.4,0.371,5.2,6.4,0.815,2.8,2.6,1,2.1,3.1,4.4,1,0.2,24.3
23,Julius Randle,NYK,71,37.6,8.5,18.6,0.456,2.3,5.5,0.411,4.9,6,0.811,3.4,3.2,1.2,9,10.2,6,0.9,0.3,24.1
24,Brandon Ingram,NOP,61,34.3,8.4,18,0.466,2.3,6.1,0.381,4.6,5.2,0.878,2.5,2,0.6,4.3,4.9,4.9,0.7,0.6,23.8
25,Nikola Vucevic,CHI,70,33.5,9.5,19.9,0.477,2.5,6.3,0.4,1.9,2.2,0.84,1.8,2,2.1,9.6,11.7,3.8,0.9,0.7,23.4
26,Paul George,LAC,54,33.7,8.2,17.6,0.467,3.2,7.7,0.411,3.7,4.2,0.868,3.3,2.4,0.8,5.8,6.6,5.2,1.1,0.4,23.3
27,C.J. McCollum,POR,47,34,8.6,18.8,0.458,3.6,8.9,0.402,2.3,2.8,0.812,1.4,1.9,0.6,3.3,3.9,4.7,0.9,0.4,23.1
28,Jerami Grant,DET,54,33.9,7.4,17.3,0.429,2.1,6.1,0.35,5.4,6.4,0.845,2,2.3,0.6,4,4.6,2.8,0.6,1.1,22.3
29,Russell Westbrook,WAS,65,36.4,8.4,19,0.439,1.3,4.2,0.315,4.2,6.4,0.656,4.8,2.9,1.7,9.9,11.5,11.7,1.4,0.4,22.2
30,DeMar DeRozan,SAS,61,33.7,7.5,15.1,0.495,0.3,1.2,0.257,6.3,7.2,0.88,2,2.1,0.7,3.6,4.2,6.9,0.9,0.2,21.6
31,Jimmy Butler,MIA,52,33.6,7,14.2,0.497,0.5,2,0.245,6.9,8,0.863,2.1,1.4,1.8,5.1,6.9,7.1,2.1,0.3,21.5
32,Pascal Siakam,TOR,56,35.8,7.8,17.2,0.455,1.3,4.4,0.297,4.4,5.4,0.827,2.3,3.1,1.7,5.5,7.2,4.5,1.1,0.7,21.4
33,Malcolm Brogdon,IND,56,34.5,7.9,17.5,0.453,2.6,6.7,0.388,2.7,3.2,0.864,2.1,2,1,4.2,5.2,5.9,0.9,0.3,21.2
34,Terry Rozier,CHA,69,34.5,7.4,16.4,0.45,3.2,8.3,0.389,2.4,2.9,0.817,1.9,1.7,0.7,3.7,4.4,4.2,1.3,0.4,20.4
35,Khris Middleton,MIL,68,33.4,7.5,15.8,0.476,2.2,5.4,0.414,3.1,3.5,0.898,2.6,2.4,0.8,5.2,6,5.4,1.1,0.1,20.4
36,Domantas Sabonis,IND,62,36,7.8,14.6,0.535,0.8,2.6,0.321,3.9,5.3,0.732,3.4,3.3,2.4,9.5,12,6.7,1.2,0.5,20.3
37,Fred VanVleet,TOR,52,36.5,6.5,16.7,0.389,3.3,9.2,0.366,3.2,3.7,0.885,1.8,2.3,0.6,3.6,4.2,6.3,1.7,0.7,19.6
38,Tobias Harris,PHI,62,32.5,7.6,14.9,0.512,1.3,3.4,0.394,2.9,3.3,0.892,1.7,1.9,1,5.8,6.8,3.5,0.9,0.8,19.5
39,Anthony Edwards,MIN,72,32.1,7,16.8,0.417,2.4,7.2,0.329,2.9,3.8,0.776,2.2,1.8,0.8,3.8,4.7,2.9,1.1,0.5,19.3
40,Ja Morant,MEM,63,32.6,6.8,15.2,0.449,1.2,3.8,0.303,4.3,5.9,0.728,3.2,1.4,0.9,3.1,4,7.4,0.9,0.2,19.1
41,"Michael Porter, Jr.",DEN,61,31.3,7.3,13.4,0.542,2.8,6.3,0.445,1.7,2.2,0.791,1.3,2.1,1.5,5.8,7.3,1.1,0.7,0.9,19
42,Bam Adebayo,MIA,64,33.5,7.1,12.5,0.57,0,0.1,0.25,4.4,5.5,0.799,2.6,2.3,2.2,6.7,9,5.4,1.2,1,18.7
43,Norman Powell,POR,69,32,6.3,13.3,0.477,2.5,6,0.411,3.4,3.9,0.871,1.7,2.3,0.6,2.5,3.1,1.9,1.2,0.3,18.6
44,Andrew Wiggins,GSW,71,33.3,7.1,14.9,0.477,2,5.2,0.38,2.4,3.4,0.714,1.8,2.2,1.2,3.7,4.9,2.4,0.9,1,18.6
45,Jordan Clarkson,UTA,68,26.7,6.7,15.8,0.425,3.1,8.8,0.347,1.9,2.1,0.896,1.7,1.6,0.7,3.3,4,2.5,0.9,0.1,18.4
46,Jrue Holiday,MIL,59,32.3,7,13.9,0.503,1.9,4.8,0.392,1.8,2.3,0.787,2.2,1.7,1.2,3.3,4.5,6.1,1.6,0.6,17.7
47,John Collins,ATL,63,29.3,6.8,12.2,0.556,1.3,3.3,0.399,2.7,3.2,0.833,1.3,3.1,1.9,5.5,7.4,1.2,0.5,1,17.6
48,R.J. Barrett,NYK,72,34.9,6.5,14.7,0.441,1.7,4.3,0.401,2.9,3.8,0.746,1.9,2.6,0.9,4.8,5.8,3,0.7,0.3,17.6
49,Darius Garland,CLE,54,33.1,6.7,14.9,0.451,1.9,4.9,0.395,2.1,2.4,0.848,3,2,0.4,2,2.4,6.1,1.2,0.1,17.4
50,Dillon Brooks,MEM,67,29.8,6.4,15.4,0.419,1.9,5.6,0.344,2.4,2.9,0.815,1.8,3.5,0.8,2.1,2.9,2.3,1.2,0.4,17.2
51,Jonas Valanciunas,MEM,62,28.3,7.1,12,0.592,0.3,0.9,0.368,2.5,3.3,0.773,1.6,2.9,4.1,8.4,12.5,1.8,0.6,0.9,17.1
52,Bojan Bogdanovic,UTA,72,30.8,5.6,12.8,0.439,2.5,6.4,0.39,3.2,3.7,0.879,1.8,1.6,0.6,3.3,3.9,1.9,0.6,0.1,17
53,Tim Hardaway Jr.,DAL,70,28.4,5.8,13,0.447,3,7.6,0.391,2,2.5,0.816,0.9,1.6,0.3,3,3.3,1.8,0.4,0.2,16.6
54,Buddy Hield,SAC,71,34.3,5.7,14,0.406,4,10.2,0.391,1.2,1.5,0.846,1.8,2.5,0.4,4.3,4.7,3.6,0.9,0.4,16.6
55,Chris Paul,PHX,70,31.4,6.3,12.6,0.499,1.5,3.7,0.395,2.4,2.6,0.934,2.2,2.4,0.4,4.1,4.5,8.9,1.4,0.3,16.4
56,Bogdan Bogdanovic,ATL,44,29.7,6.1,12.8,0.473,3.3,7.6,0.438,0.9,1,0.909,1.2,2.2,0.5,3.2,3.6,3.3,1.1,0.3,16.4
57,Mike Conley,UTA,51,29.4,5.6,12.5,0.444,2.7,6.6,0.412,2.4,2.8,0.852,1.9,1.9,0.7,2.8,3.5,6,1.4,0.2,16.2
58,Harrison Barnes,SAC,58,36.2,5.5,11.1,0.497,1.7,4.4,0.391,3.4,4.1,0.83,1.6,1.3,1.1,5.5,6.6,3.5,0.7,0.2,16.1
59,LaMelo Ball,CHA,51,28.8,5.7,13.2,0.436,1.8,5.1,0.352,2.5,3.2,0.758,2.8,2.7,1.2,4.7,5.9,6.1,1.6,0.4,15.7
60,Dejounte Murray,SAS,67,31.9,6.6,14.5,0.453,0.9,3,0.317,1.6,2,0.791,1.7,2,0.9,6.2,7.1,5.4,1.5,0.1,15.7
61,"Kelly Oubre, Jr.",GSW,55,30.7,5.8,13.2,0.439,1.6,5.2,0.316,2.2,3.2,0.695,1.3,2.2,1.5,4.5,6,1.3,1,0.8,15.4
62,Dennis Schroder,LAL,61,32.1,5.4,12.5,0.437,1.2,3.5,0.335,3.4,4,0.848,2.7,2.6,0.5,3,3.5,5.8,1.1,0.2,15.4
63,"Gary Trent, Jr.",TOR,58,31.1,5.5,13.5,0.408,2.8,7.4,0.385,1.4,1.8,0.783,0.7,1.6,0.5,2.2,2.6,1.4,1,0.2,15.3
64,Clint Capela,ATL,63,30.1,6.6,11,0.594,0,0,0,2.1,3.6,0.573,1.2,2.3,4.7,9.6,14.3,0.8,0.7,2,15.2
65,Tyler Herro,MIA,54,30.3,5.7,12.9,0.439,2,5.5,0.36,1.7,2.2,0.803,1.9,1.3,0.5,4.5,5,3.4,0.6,0.3,15.1
66,Coby White,CHI,69,31.2,5.4,13.1,0.416,2.4,6.6,0.359,1.9,2.1,0.901,2.3,2.6,0.4,3.7,4.1,4.8,0.6,0.2,15.1
67,Andre Drummond,LAL,46,27,6.1,12.4,0.493,0,0.2,0,2.7,4.5,0.6,2.7,3.2,3.6,8.4,12,2,1.4,1.1,14.9
68,Devonte' Graham,CHA,55,30.2,4.6,12.2,0.377,3.3,8.7,0.375,2.4,2.9,0.842,1.5,1.4,0.4,2.3,2.7,5.4,0.9,0.1,14.8
69,Derrick Rose,NYK,50,25.6,5.7,12.2,0.47,1,2.6,0.388,2.2,2.5,0.866,1.6,1.1,0.4,2.2,2.6,4.2,1,0.4,14.7
70,Lonzo Ball,NOP,55,31.8,5.3,12.7,0.414,3.1,8.3,0.378,0.9,1.2,0.781,2.2,1.9,0.6,4.2,4.8,5.7,1.5,0.6,14.6
71,Kendrick Nunn,MIA,56,29.5,5.7,11.8,0.485,2.2,5.7,0.381,1,1.1,0.933,1.4,1.9,0.4,2.8,3.2,2.6,0.9,0.2,14.6
72,Deandre Ayton,PHX,69,30.6,6.2,10,0.626,0.1,0.3,0.2,1.9,2.5,0.769,1.5,2.8,3.3,7.2,10.5,1.4,0.6,1.2,14.4
73,Rudy Gobert,UTA,71,30.8,5.5,8.2,0.675,0,0.1,0,3.3,5.3,0.623,1.7,2.3,3.4,10.1,13.5,1.3,0.6,2.7,14.3
74,Ben Simmons,PHI,58,32.4,5.6,10.1,0.557,0.1,0.2,0.3,3,4.9,0.613,3,2.9,1.6,5.6,7.2,6.9,1.6,0.6,14.3
75,Richaun Holmes,SAC,61,29.2,6,9.4,0.637,0,0.2,0.182,2.2,2.8,0.794,1.2,3.5,2.4,5.9,8.3,1.7,0.6,1.6,14.2
76,Joe Harris,BRK,69,31,5.2,10.2,0.505,3.1,6.4,0.475,0.7,0.9,0.778,0.9,2,0.6,3,3.6,1.9,0.7,0.2,14.1
77,Luguentz Dort,OKC,52,29.7,4.8,12.3,0.387,2.2,6.3,0.343,2.3,3.2,0.744,1.5,2.6,0.7,2.9,3.6,1.7,0.9,0.4,14
78,Rui Hachimura,WAS,57,31.5,5.4,11.4,0.478,0.8,2.4,0.328,2.2,2.8,0.77,1.2,2.1,0.9,4.6,5.5,1.4,0.8,0.1,13.8
79,Darius Bazley,OKC,55,31.2,5,12.5,0.396,1.5,5.2,0.29,2.3,3.2,0.702,2.2,1.1,0.9,6.3,7.2,1.8,0.5,0.5,13.7
80,Chris Boucher,TOR,60,24.2,4.8,9.3,0.514,1.5,3.9,0.383,2.5,3.2,0.788,0.8,2.8,1.9,4.8,6.7,1.1,0.6,1.9,13.6
81,Lauri Markkanen,CHI,51,25.8,4.9,10.2,0.48,2.3,5.8,0.402,1.5,1.8,0.826,1,1.5,0.7,4.6,5.3,0.9,0.5,0.3,13.6
82,Doug McDermott,IND,66,24.5,5.4,10.1,0.532,1.7,4.3,0.388,1.2,1.5,0.816,0.8,1.8,0.9,2.4,3.3,1.3,0.3,0.1,13.6
83,Kelly Olynyk,HOU,70,28.5,4.8,10,0.484,1.8,5.3,0.342,2.1,2.5,0.829,1.8,3,1.2,5.7,7,2.9,1.1,0.6,13.5
84,Montrezl Harrell,LAL,69,22.9,5.4,8.7,0.622,0,0.1,0,2.6,3.7,0.707,1.1,1.9,2.3,3.9,6.2,1.1,0.7,0.7,13.5
85,Mikal Bridges,PHX,72,32.6,5,9.3,0.543,1.9,4.4,0.425,1.5,1.8,0.84,0.8,1.6,1.1,3.2,4.3,2.1,1.1,0.9,13.5
86,Goran Dragic,MIA,50,26.7,4.8,11.1,0.432,1.8,4.9,0.373,2,2.4,0.828,2.4,2.3,0.5,2.9,3.4,4.4,0.7,0.2,13.4
87,Marcus Morris,LAC,57,26.3,4.8,10.2,0.473,2.5,5.2,0.473,1.3,1.6,0.82,1,2.1,0.6,3.5,4.1,1,0.6,0.3,13.4
88,Carmelo Anthony,POR,69,24.5,4.7,11.3,0.421,1.9,4.7,0.409,2,2.2,0.89,0.9,2.1,0.5,2.6,3.1,1.5,0.7,0.6,13.4
89,Josh Jackson,DET,62,25.2,4.8,11.4,0.419,1.2,4.1,0.3,2.6,3.5,0.729,2.3,2.9,0.9,3.2,4.1,2.3,0.9,0.8,13.4
90,Danilo Gallinari,ATL,51,24,4,9.3,0.434,2,5,0.406,3.2,3.4,0.925,0.8,2.1,0.3,3.8,4.1,1.5,0.6,0.2,13.3
91,Duncan Robinson,MIA,72,31.4,4.4,10,0.439,3.5,8.5,0.408,0.9,1,0.827,1.1,2.5,0.1,3.4,3.5,1.8,0.6,0.3,13.1
92,Marcus Smart,BOS,48,32.9,4.2,10.6,0.398,1.9,5.9,0.33,2.7,3.4,0.79,2,2.6,0.8,2.7,3.5,5.7,1.5,0.5,13.1
93,Tyrese Haliburton,SAC,58,30.1,5,10.7,0.472,2.1,5.1,0.409,0.8,1,0.857,1.6,1.4,0.7,2.3,3,5.3,1.3,0.5,13
94,Shake Milton,PHI,63,23.2,4.8,10.6,0.45,1.1,3.2,0.35,2.3,2.8,0.83,1.6,2.1,0.5,1.8,2.3,3.1,0.6,0.3,13
95,P.J. Washington,CHA,64,30.5,4.7,10.7,0.44,1.8,4.5,0.386,1.7,2.3,0.745,2,2.7,1.5,5.1,6.5,2.5,1.1,1.2,12.9
96,Kyle Kuzma,LAL,68,28.7,4.9,11.1,0.443,2,5.6,0.361,1,1.4,0.691,1.7,1.8,1.6,4.5,6.1,1.9,0.5,0.6,12.9
97,Jarrett Allen,CLE,63,29.6,4.7,7.7,0.618,0.1,0.3,0.316,3.2,4.6,0.703,1.6,1.5,3.1,6.9,10,1.7,0.5,1.4,12.8
98,Keldon Johnson,SAS,69,28.5,4.9,10.2,0.479,0.9,2.6,0.331,2.1,2.8,0.74,1.1,2.1,1.3,4.6,6,1.8,0.6,0.3,12.8
99,Miles Bridges,CHA,66,29.3,4.7,9.4,0.503,1.8,4.4,0.4,1.5,1.7,0.867,1.6,2.2,1.2,4.8,6,2.2,0.7,0.8,12.7
100,Alec Burks,NYK,49,25.6,4.3,10.2,0.42,2.1,5,0.415,2.1,2.4,0.856,1,2.1,0.4,4.2,4.6,2.2,0.6,0.3,12.7
101,Will Barton,DEN,56,31,4.6,10.9,0.426,1.8,4.6,0.381,1.7,2.2,0.785,1.7,1.7,0.7,3.3,4,3.2,0.9,0.4,12.7
102,Jalen Brunson,DAL,68,25,4.8,9.2,0.523,1.2,2.9,0.405,1.8,2.2,0.795,1.2,1.6,0.4,3,3.4,3.5,0.5,0,12.6
103,Seth Curry,PHI,57,28.7,4.5,9.7,0.467,2.2,4.9,0.45,1.2,1.4,0.896,1.1,1.7,0.2,2.2,2.4,2.7,0.8,0.1,12.5
104,Kyle Anderson,MEM,69,27.4,4.5,9.5,0.468,1.4,3.8,0.36,2.1,2.7,0.783,1.2,1.7,0.8,5,5.7,3.6,1.2,0.8,12.4
105,Aaron Gordon,DEN,50,27.7,4.6,10,0.463,1.2,3.5,0.335,1.9,3,0.651,1.9,1.8,1.5,4.1,5.7,3.2,0.7,0.7,12.4
106,Brook Lopez,MIL,70,27.2,4.6,9.1,0.503,1.4,4,0.338,1.7,2,0.845,0.9,2.1,1.5,3.5,5,0.7,0.6,1.5,12.3
107,Saddiq Bey,DET,70,27.3,4,9.9,0.404,2.5,6.6,0.38,1.8,2.1,0.844,0.9,1.6,0.6,3.9,4.5,1.4,0.7,0.2,12.2
108,Eric Bledsoe,NOP,71,29.7,4.3,10.3,0.421,1.7,5,0.341,1.9,2.7,0.687,1.6,1.6,0.4,3,3.4,3.8,0.8,0.3,12.2
109,Josh Richardson,DAL,59,30.3,4.5,10.5,0.427,1.5,4.5,0.33,1.7,1.8,0.917,1.3,2.2,0.9,2.4,3.3,2.6,1,0.4,12.1
110,Thaddeus Young,CHI,68,24.3,5.4,9.7,0.559,0.2,0.7,0.267,1,1.7,0.628,2,2.2,2.5,3.8,6.2,4.3,1.1,0.6,12.1
111,Joe Ingles,UTA,67,27.9,4.1,8.4,0.489,2.7,6.1,0.451,1.1,1.3,0.844,1.7,1.8,0.4,3.2,3.6,4.7,0.7,0.2,12.1
112,Jordan Poole,GSW,51,19.4,4,9.3,0.432,1.9,5.4,0.351,2.1,2.3,0.882,1,1.7,0.3,1.5,1.8,1.9,0.5,0.2,12
113,Kevin Huerter,ATL,69,30.8,4.6,10.6,0.432,2,5.6,0.363,0.7,0.9,0.781,1.1,2.4,0.6,2.8,3.3,3.5,1.2,0.3,11.9
114,Hamidou Diallo,DET,52,23.6,4.3,9,0.477,0.5,1.6,0.341,2.5,3.8,0.64,1.5,2.6,1.1,4.1,5.2,1.9,0.8,0.5,11.6
115,Davis Bertans,WAS,57,25.7,3.4,8.4,0.404,3,7.5,0.395,1.8,2,0.87,0.6,2.4,0.3,2.6,2.9,0.9,0.6,0.2,11.5
116,Bobby Portis,MIL,66,20.8,4.7,9.1,0.523,1.1,2.4,0.471,0.8,1.1,0.74,0.8,1.7,1.9,5.2,7.1,1.1,0.8,0.4,11.4
117,Immanuel Quickley,NYK,64,19.4,3.6,9.1,0.395,1.8,4.7,0.389,2.4,2.7,0.891,0.9,1.8,0.4,1.8,2.1,2,0.5,0.2,11.4
118,Rudy Gay,SAS,63,21.5,4.2,10,0.42,1.7,4.4,0.381,1.3,1.6,0.804,1,1.8,0.7,4.1,4.8,1.4,0.7,0.6,11.4
119,Lou Williams,ATL,66,21.6,4,9.8,0.41,1,2.6,0.399,2.3,2.6,0.867,1.6,0.9,0.3,1.8,2.1,3.4,0.7,0.1,11.3
120,Jae'sean Tate,HOU,70,29.2,4.5,8.9,0.506,0.9,2.8,0.308,1.5,2.1,0.694,1.4,3.2,1.9,3.5,5.3,2.5,1.2,0.5,11.3
121,"Wendell Carter, Jr.",ORL,54,25.5,4.3,8.5,0.503,0.3,0.9,0.294,2.4,3.3,0.732,1.4,2.7,2.4,5.8,8.2,1.9,0.6,0.8,11.2
122,Naz Reid,MIN,70,19.2,4.3,8.3,0.523,0.9,2.5,0.351,1.6,2.4,0.693,1,2.6,1.2,3.4,4.6,1,0.5,1.1,11.2
123,Enes Kanter,POR,72,24.4,4.7,7.8,0.604,0,0.1,0.25,1.8,2.3,0.774,1.1,2.3,3.9,7.1,11,1.2,0.5,0.7,11.2
124,Lonnie Walker,SAS,60,25.4,4.3,10.2,0.42,1.7,4.7,0.355,0.9,1.2,0.814,1.1,1.7,0.2,2.4,2.6,1.7,0.5,0.2,11.2
125,Jeff Green,BRK,68,27,3.8,7.8,0.492,1.5,3.7,0.412,1.8,2.4,0.776,0.8,1.8,0.5,3.4,3.9,1.6,0.5,0.4,11
126,Blake Griffin,BRK,46,25.8,3.8,8.9,0.423,1.5,4.5,0.341,1.9,2.5,0.744,1.3,2.4,0.8,4.1,4.9,3,0.7,0.3,11
127,Dwayne Bacon,ORL,72,25.7,4.1,10.1,0.402,0.8,2.9,0.285,2,2.4,0.824,0.6,1.4,0.4,2.7,3.1,1.3,0.6,0.1,10.9
128,Reggie Bullock,NYK,65,30,3.8,8.6,0.442,2.5,6.1,0.41,0.8,0.8,0.909,0.7,2.2,0.2,3.2,3.4,1.5,0.8,0.2,10.9
129,Patty Mills,SAS,68,24.8,3.7,9,0.412,2.4,6.3,0.375,1,1.1,0.91,1,1.2,0.3,1.4,1.7,2.4,0.6,0,10.8
130,Reggie Jackson,LAC,67,23,3.9,8.7,0.45,1.8,4.2,0.433,1,1.2,0.817,1.1,1.9,0.4,2.5,2.9,3.1,0.6,0.1,10.7
